korean_name,english_name,kcd_code,special_code
(무한성) 외배엽형성이상,Ectodermal dysplasia (anhidrotic),Q82.4,V900
(승모판 협착 또는 폐쇄와 함께) 상행대동맥의 형성저하와 좌심실의 결손발육을 동반하는 대동맥구멍 및 판막의 폐쇄 또는 현저한 발육부전,"Atresia, or marked hypoplasia of aortic orifice or valve, with hypoplasia of ascending aorta and defective development of left ventricle (with mitral valve stenosis or atresia)",Q23.4,V147
"(외)이도의 선천성 결여, 폐쇄, 협착","Congenital absence, atresia and stricture of auditory canal(external)",Q16.1,V291
(이상형태성) 태아알코올증후군,Fetal alcohol syndrome (dysmorphic),Q86.0,V157
(하)(상)대정맥의 선천성 협착,Congenital stenosis of vena cava (inferior)(superior),Q26.0,V150
(혈청검사음성인) 연소성 다발관절염,Juvenile polyarthritis (seronegative),M08.3,V133
10단완 11-12 결손 증후군,10p11-12 deletion syndrome,,V901
10번 염색체 단완의 결손 증후군,10p deletion syndrome,,V901
10번 염색체 단완의 삼염색체증,Trisomy 10p,Q92.2,V900
10번 염색체 장완 말단부의 단일염색체증,Distal monosomy 10q,,V901
10번 염색체 장완의 22-23 부분의 미세결손 증후군,10q22q23 microdeletion syndrome,,V901
10번 염색체 장완의 결손 증후군,10q deletion syndrome,,V901
10번 염색체 장완의 중복 증후군,10q duplication syndrome,,V901
10장완 말단 삼염색체 증후군,Distal 10q trisomy syndrome,,V900
11번 염색체 장완의 중복 증후군,11q duplication syndrome,,V901
11장완 말단부 삼염색체 증후군,11q distal trisomy syndrome,Q92.3,V900
12번 염색체 단완 13 부분의 미세중복,12p13 microduplication,,V901
12번 염색체 단완의 중복 증후군,12p duplication syndrome,,V901
12번 염색체 장완 13 부분의 미세중복,12q13 microduplication,,V901
12번 염색체 장완의 결손 증후군,12q deletion syndrome,,V901
12번 염색체 장완의 중복 증후군,12q duplication syndrome,,V901
13번 염색체 장완 12.3 부분의 미세결손 증후군,13q12.3 microdeletion syndrome,,V901
13번 염색체 장완 21-22 부분의 결손,13q21-22 deletion,,V901
13번 염색체 장완의 말단부 단일염색체증,Distal monosomy 13q,,V901
13번 염색체 장완의 부분 결손,Partial deletion of the long arm of chromosome 13,,V901
"13삼염색체증, 감수분열비분리","Trisomy 13, meiotic nondisjunction",Q91.4,V160
"13삼염색체증, 섞임증형(유사분열비분리)","Trisomy 13, mosaicism (mitotic nondisjunction)",Q91.5,V160
"13삼염색체증, 전위","Trisomy 13, translocation",Q91.6,V160
13삼염색체증후군,Trisomy 13 Syndrome,Q91.7,V160
14번 염색체 장완 24.2-31.1 부분의 미세결손,14q24.2q31.1 microdeletion,,V901
14번 염색체 장완 말단부의 단일염색체증,Distal monosomy 14q,,V901
14번 염색체 장완의 결손 증후군,14q deletion syndrome,,V901
14번 염색체 장완의 중복 증후군,14q duplication syndrome,,V901
15 장완13.3 미세결손 증후군,15q13.3 microdeletion syndrome,Q93.5,V900
15번 고리모양 염색체,Ring chromosome 15,,V901
15번 염색체 장완 11-13 부분의 미세중복 증후군,15q11q13 microduplication syndrome,Q92.3,V900
15번 염색체 장완의 결손 증후군,15q deletion syndrome,,V901
15번 염색체 장완의 중복 증후군,15q duplication syndrome,,V901
15장완 사염색체(증)(쌍중심절 15번 염색체 증후군),Tetrasomy 15q (isodicentric 15 chromosome syndrome),Q93.2,V900
15장완11.2 미세결손 증후군,15q11.2 microdeletion syndrome,,V900
16단완11.2 미세중복,16p 11.2 microduplication,,V901
16번 염색체 단완의 11-12 부분의 미세결손 증후군,16p11p12 microdeletion syndrome,,V901
16번 염색체 단완의 결손,Deletion of short arm of chromosome 16,,V901
16번 염색체 단완의 결손 증후군,16p deletion syndrome,,V901
16번 염색체 단완의 중복 증후군,16p duplication syndrome,,V901
16번 염색체 장완의 결손 증후군,16q deletion syndrome,,V901
16번 염색체 장완의 중복,16q duplication,,V901
17단완13.3 미세중복,17p 13.3 microduplication,,V901
17번 염색체 단완 13.1 부분의 미세결손 증후군,Distal 17p13.1 microdeletion syndrome,,V901
17번 염색체 단완 13.3 부분의 미세결손 증후군,Distal 17p13.3 microdeletion syndrome,,V901
17번 염색체 단완의 결손 증후군,17p deletion syndrome,,V901
17번 염색체 장완 21.31 부분의 미세중복 증후군,17q21.31 microduplication syndrome,,V901
17번 염색체 장완 25.1 부분의 중복 증후군,17q25.1 duplication syndrome,,V901
17번 염색체 장완의 결손 증후군,17q deletion syndrome,,V901
17번 염색체 장완의 중복 증후군,17q duplication syndrome,,V901
18 단완 염색체 결손,18 short arm chromosome deletion,Q93.5,V900
18번 고리모양 염색체,Ring chromosome 18,,V901
18번 염색체 단완의 사염색체증,Tetrasomy 18p,,V901
18번 염색체 장완의 결손 증후군,18 long arm deletion syndrome,Q93.5,V900
18번 염색체 장완의 중복 증후군,18q duplication syndrome,,V901
"18삼염색체증, 감수분열비분리","Trisomy 18, meiotic nondisjunction",Q91.0,V160
"18삼염색체증, 섞임증형(유사분열비분리)","Trisomy 18, mosaicism (mitotic nondisjunction)",Q91.1,V160
"18삼염색체증, 전위","Trisomy 18, translocation",Q91.2,V160
18장완 말단부 결손 증후군,18q distal deletion syndrome,Q93.5,V900
18장완단일염색체증,18q monosomy,Q93.5,V900
19번 염색체 단완 13.3 부분의 중복,19p13.3 duplication,,V901
19번 염색체 단완의 결손 증후군,19p deletion syndrome,,V901
19번 염색체 장완의 중복 증후군,19q duplication syndrome,,V901
1번 염색체 단완 31-32 부분의 미세결손,1p31-1p32 microdeletion,,V901
1번 염색체 단완 36부분의 미세결손증후군,1p36 Microdeletion Syndrome,Q93.5,V900
1번 염색체 단완의 결손 증후군,1p deletion syndrome,,V901
1번 염색체 단완의 중복 증후군,1p duplication syndrome,,V901
1번 염색체 장완 21.1 부분의 중복 증후군,1q21.1 duplication syndrome,,V901
1번 염색체 장완 21.3 부분의 미세결손 증후군,1q21.3 microdeletion syndrome,,V901
1번 염색체 장완 44부분의 미세결손 증후군,1q44 microdeletion syndrome,,V901
